entry_id,asset_id,source_field
entry_c477c6dd70c5f5b95c48,asset_0d7a23b29e6de1bfbd83,PDF | Image Link
entry_c68a27411ae487e7d805,asset_7d1b50162c29378a9cbb,PDF | Image Link
entry_c74e86315733e00dadb1,asset_a3558c198522fb81c06d,DVIDS Video ID
entry_c83df3814986bd3b3b02,asset_9a3f23d9136eddf32121,PDF | Image Link
entry_c89eafffce3cec585afe,asset_2201422e542ed5975e33,PDF | Image Link
entry_c92536081c87f52f8bdd,asset_e1399422578d5d52b9d8,DVIDS Video ID
entry_c93e2a01378041237d4c,asset_9f269ad71cf402081379,DVIDS Video ID
entry_cb843acefe31604d9824,asset_b8b5b17a6d70ef3951ea,PDF | Image Link
entry_cc2311cc5826b95ad7b7,asset_9a0a2d62e9f47eb83a45,PDF | Image Link
entry_cde9a077250c1a081632,asset_4de77322d7611e8e54cd,DVIDS Video ID
